iter	Passed	Remaining
0	4	4104
1	7	3902
2	12	4051
3	16	4036
4	20	4019
5	24	4037
6	27	3841
7	30	3840
8	35	3904
9	39	3885
10	42	3832
11	46	3813
12	49	3793
13	53	3763
14	57	3783
15	61	3788
16	65	3798
17	69	3808
18	73	3797
19	77	3796
20	81	3788
21	85	3789
22	89	3799
23	94	3826
24	98	3853
25	103	3868
26	106	3851
27	110	3835
28	114	3839
29	118	3836
30	123	3850
31	127	3857
32	131	3861
33	136	3872
34	140	3878
35	145	3888
36	149	3903
37	154	3906
38	158	3909
39	163	3914
40	169	3953
41	173	3952
42	177	3951
43	181	3954
44	186	3955
45	190	3950
46	193	3925
47	197	3918
48	201	3913
49	205	3907
50	208	3885
51	211	3864
52	215	3846
53	219	3844
54	223	3844
55	227	3835
56	231	3833
57	236	3840
58	241	3850
59	245	3840
60	248	3832
61	253	3836
62	256	3820
63	261	3822
64	265	3822
65	271	3841
66	276	3846
67	280	3847
68	283	3830
69	288	3827
70	291	3819
71	296	3826
72	300	3821
73	304	3806
74	308	3799
75	311	3784
76	315	3777
77	318	3764
78	323	3771
79	327	3765
80	331	3760
81	335	3752
82	338	3740
83	342	3737
84	347	3738
85	351	3731
86	354	3721
87	358	3712
88	361	3701
89	366	3701
90	370	3698
91	373	3690
92	377	3681
93	381	3677
94	385	3676
95	389	3666
96	392	3653
97	396	3648
98	399	3637
99	403	3631
100	407	3622
101	410	3612
102	413	3604
103	417	3596
104	421	3589
105	424	3581
106	428	3574
107	431	3567
108	435	3558
109	439	3554
110	442	3544
111	446	3538
112	449	3531
113	453	3528
114	457	3518
115	460	3510
116	465	3510
117	469	3511
118	474	3510
119	477	3502
120	481	3498
121	485	3492
122	488	3485
123	492	3478
124	496	3473
125	499	3464
126	503	3459
127	506	3450
128	510	3445
129	513	3439
130	517	3431
131	521	3427
132	525	3422
133	528	3416
134	532	3414
135	537	3415
136	541	3412
137	546	3410
138	549	3402
139	553	3402
140	558	3399
141	561	3393
142	565	3390
143	569	3387
144	573	3381
145	576	3373
146	581	3372
147	584	3365
148	588	3358
149	591	3351
150	595	3350
151	599	3342
